id,name,rarity,collection,series,holofoil_price,reverse_holofoil_price,release_date,nationalPokedexNumbers,artist,popularite
ex9-9,Rayquaza,Rare Holo,Emerald,EX,62.99,95.0,2005/05/01,[384],Kouki Saitou,#8
ex8-8,Gyarados,Rare Holo,Deoxys,EX,56.83,69.99,2005/02/01,[130],Hisao Nakamura,Non référencé
ex11-10,Marowak δ,Rare Holo,Delta Species,EX,13.8,17.99,2005/10/31,[105],Hajime Kusajima,Non référencé
ex7-9,Dark Slowking,Rare Holo,Team Rocket Returns,EX,26.45,61.29,2004/11/01,[199],Kouki Saitou,Non référencé
dp1-7,Luxray,Rare Holo,Diamond & Pearl,Diamond & Pearl,8.79,6.71,2007/05/01,[405],Mikiko Takeda,#21
ex1-1,Aggron,Rare Holo,Ruby & Sapphire,EX,10.04,12.99,2003/07/01,[306],Mitsuhiro Arita,#52
ex13-5,Deoxys δ,Rare Holo,Holon Phantoms,EX,17.95,25.0,2006/05/01,[386],Kouki Saitou,#179
base4-7,Gyarados,Rare Holo,Base Set 2,Base,24.6,,2000/02/24,[130],Mitsuhiro Arita,Non référencé
base6-7,Dark Raichu,Rare Holo,Legendary Collection,Other,42.79,179.0,2002/05/24,[26],Mitsuhiro Arita,#165
dp2-2,Alakazam,Rare Holo,Mysterious Treasures,Diamond & Pearl,19.1,17.48,2007/08/01,[65],Kouki Saitou,Non référencé
ex13-6,Deoxys δ,Rare Holo,Holon Phantoms,EX,16.05,31.96,2006/05/01,[386],Masakazu Fukuda,#179
pop7-8,Kirlia,Uncommon,POP Series 7,POP,11.2,,2008/03/01,[281],Masakazu Fukuda,Non référencé
dp3-10,Ho-Oh,Rare Holo,Secret Wonders,Diamond & Pearl,20.68,15.05,2007/11/01,[250],Kazuyuki Kano,#96
col1-7,Gyarados,Rare Holo,Call of Legends,HeartGold & SoulSilver,19.07,15.68,2011/02/09,[130],Mitsuhiro Arita,Non référencé
pop2-3,Raikou,Rare,POP Series 2,POP,11.38,,2005/08/01,[243],Kouki Saitou,Non référencé
ex10-8,Jolteon,Rare Holo,Unseen Forces,EX,33.73,38.93,2005/08/01,[135],Mitsuhiro Arita,#168
ex9-10,Sceptile,Rare Holo,Emerald,EX,15.14,54.49,2005/05/01,[254],Mitsuhiro Arita,#28
hgss1-11,Shuckle,Rare Holo,HeartGold & SoulSilver,HeartGold & SoulSilver,6.51,11.14,2010/02/10,[213],Sumiyoshi Kizuki,#223
base1-9,Magneton,Rare Holo,Base,Base,19.29,,1999/01/09,[82],Keiji Kinebuchi,Non référencé
ex10-6,Forretress,Rare Holo,Unseen Forces,EX,8.09,9.37,2005/08/01,[205],Aya Kusube,Non référencé
ex4-7,Team Magma's Aggron,Rare Holo,Team Magma vs Team Aqua,EX,9.11,24.79,2004/03/01,[306],Hiromichi Sugiyama,#52
ex11-8,Latias δ,Rare Holo,Delta Species,EX,49.99,46.94,2005/10/31,[380],Ryo Ueda,#99
dp3-9,Gastrodon West Sea,Rare Holo,Secret Wonders,Diamond & Pearl,5.57,4.8,2007/11/01,[423],Kazuyuki Kano,Non référencé
pop4-6,Combusken,Uncommon,POP Series 4,POP,8.44,,2006/08/01,[256],Mitsuhiro Arita,Non référencé
dp2-1,Aggron,Rare Holo,Mysterious Treasures,Diamond & Pearl,5.76,2.95,2007/08/01,[306],Kouki Saitou,#52
ex7-8,Dark Octillery,Rare Holo,Team Rocket Returns,EX,12.54,28.4,2004/11/01,[224],Mitsuhiro Arita,Non référencé
ex11-9,Latios δ,Rare Holo,Delta Species,EX,70.0,43.42,2005/10/31,[381],Ryo Ueda,#149
sm115-9,Charizard-GX,Rare Holo GX,Hidden Fates,Sun & Moon,5.52,,2019/08/23,[6],aky CG Works,#4
pl2-3,Darkrai G,Rare Holo,Rising Rivals,Platinum,12.92,15.61,2009/05/16,[491],Makoto Imai,#44
ex5-1,Banette,Rare Holo,Hidden Legends,EX,12.22,11.5,2004/06/01,[354],Midori Harada,#182
ex14-5,Dugtrio,Rare Holo,Crystal Guardians,EX,5.78,9.99,2006/08/01,[51],Tomokazu Komiya,Non référencé
hgss2-7,Politoed,Rare Holo,HS—Unleashed,HeartGold & SoulSilver,5.28,5.27,2010/05/12,[186],Naoyo Kimura,Non référencé
ecard2-H11,Houndoom,Rare Holo,Aquapolis,E-Card,272.69,,2003/01/15,[229],Hajime Kusajima,#120
ex6-4,Ditto,Rare Holo,FireRed & LeafGreen,EX,20.57,19.02,2004/09/01,[132],Miki Tanaka,#135
col1-6,Groudon,Rare Holo,Call of Legends,HeartGold & SoulSilver,10.66,4.5,2011/02/09,[383],Ryo Ueda,#153
ex6-1,Beedrill,Rare Holo,FireRed & LeafGreen,EX,5.98,14.85,2004/09/01,[15],Hajime Kusajima,Non référencé
pop2-1,Entei,Rare,POP Series 2,POP,12.14,,2005/08/01,[244],Kouki Saitou,#186
ex4-8,Team Magma's Claydol,Rare Holo,Team Magma vs Team Aqua,EX,10.77,7.23,2004/03/01,[344],Zu-Ka,Non référencé
hgss1-10,Raichu,Rare Holo,HeartGold & SoulSilver,HeartGold & SoulSilver,14.76,19.89,2010/02/10,[26],match,#165
ex6-2,Butterfree,Rare Holo,FireRed & LeafGreen,EX,13.27,14.42,2004/09/01,[12],Atsuko Nishida,Non référencé
ex12-10,Mew,Rare Holo,Legend Maker,EX,59.37,109.99,2006/02/01,[151],Kouki Saitou,#33
ex2-2,Cacturne,Rare Holo,Sandstorm,EX,15.41,8.36,2003/09/18,[332],Atsuko Nishida,Non référencé
ex10-7,Houndoom,Rare Holo,Unseen Forces,EX,20.4,20.29,2005/08/01,[229],Midori Harada,#120
base4-8,Hitmonchan,Rare Holo,Base Set 2,Base,15.23,,2000/02/24,[107],Ken Sugimori,Non référencé
ex8-7,Dusclops,Rare Holo,Deoxys,EX,6.59,8.43,2005/02/01,[356],Tomoko Wakai,Non référencé
